model,noise_type,sigma,image,psnr,ssim,lpips,psnr_noisy,ssim_noisy,lpips_noisy,inference_ms
vae,gaussian,15,test047.png,21.292489686574285,0.3705120583718578,0.6758862733840942,24.596960278204495,0.7319795869774587,0.27565884590148926,
dncnn,gaussian,15,test048.png,32.73880100258876,0.9470508373681963,0.0384245365858078,25.04639881782093,0.6319747491360905,0.37315288186073303,
vae,gaussian,15,test048.png,20.316069971127316,0.6164118591989953,0.43621519207954407,25.04639881782093,0.6319747491360905,0.37315288186073303,
dncnn,gaussian,15,test049.png,33.347473502245144,0.85773438142555,0.1841716468334198,25.025046845857418,0.4500835217225024,0.4937915802001953,
vae,gaussian,15,test049.png,28.04142079349662,0.7164985949593254,0.49707096815109253,25.025046845857418,0.4500835217225024,0.4937915802001953,
dncnn,gaussian,15,test050.png,29.396019943675945,0.8707107201554721,0.11169968545436859,24.905693862402657,0.6966496474921156,0.27750352025032043,
vae,gaussian,15,test050.png,21.714276507441234,0.4447685252318495,0.6820673942565918,24.905693862402657,0.6966496474921156,0.27750352025032043,
dncnn,gaussian,15,test051.png,30.981147477914828,0.8789173659887928,0.08464044332504272,24.669161532291493,0.6192419641410797,0.32440611720085144,
vae,gaussian,15,test051.png,18.694887458413824,0.4845439951594689,0.6942958831787109,24.669161532291493,0.6192419641410797,0.32440611720085144,
dncnn,gaussian,15,test052.png,33.795472188889434,0.8673455424709129,0.16382890939712524,25.15689906950509,0.4503988367579037,0.532129168510437,
vae,gaussian,15,test052.png,28.22923106026735,0.717430414441229,0.5136404037475586,25.15689906950509,0.4503988367579037,0.532129168510437,
dncnn,gaussian,15,test053.png,32.95087018838676,0.8358038471505954,0.20083089172840118,24.63904706330872,0.44141912741106354,0.556935727596283,
vae,gaussian,15,test053.png,28.76729619429198,0.6442892966726383,0.5588074922561646,24.63904706330872,0.44141912741106354,0.556935727596283,
dncnn,gaussian,15,test054.png,31.635859908322228,0.8851087947704439,0.10300750285387039,24.66548942940619,0.6264982374114301,0.3203934133052826,
vae,gaussian,15,test054.png,22.562975992666523,0.5278628367378377,0.5764038562774658,24.66548942940619,0.6264982374114301,0.3203934133052826,
dncnn,gaussian,15,test055.png,30.211415591361792,0.8755577956480888,0.08059597760438919,24.692232553363883,0.6822410717812696,0.2701056897640228,
vae,gaussian,15,test055.png,20.968642864668965,0.4412028742469143,0.5941194295883179,24.692232553363883,0.6822410717812696,0.2701056897640228,
dncnn,gaussian,15,test056.png,26.98344404129047,0.8948562978783945,0.06796886026859283,24.67249789653369,0.8435331120059802,0.10469996184110641,
vae,gaussian,15,test056.png,18.598616807426232,0.23143191366416238,0.9203977584838867,24.67249789653369,0.8435331120059802,0.10469996184110641,
dncnn,gaussian,15,test057.png,30.742659346923823,0.8973689558466176,0.09283538907766342,24.64375228646236,0.5366854460823506,0.47332876920700073,
vae,gaussian,15,test057.png,24.251659855557584,0.5764612207751603,0.6291146874427795,24.64375228646236,0.5366854460823506,0.47332876920700073,
dncnn,gaussian,15,test058.png,32.64165354720089,0.8430143557799888,0.2780987620353699,24.631192544740543,0.4298711189696365,0.4896771311759949,
vae,gaussian,15,test058.png,28.74521291759632,0.6756201804241398,0.6158387660980225,24.631192544740543,0.4298711189696365,0.4896771311759949,
dncnn,gaussian,15,test059.png,32.21165873020564,0.8476688803363663,0.13654549419879913,24.606846288507334,0.4723919006887833,0.4716258645057678,
vae,gaussian,15,test059.png,27.273798043051652,0.6495839577588524,0.5102009177207947,24.606846288507334,0.4723919006887833,0.4716258645057678,
dncnn,gaussian,15,test060.png,32.95584799090757,0.8527139398697126,0.1709008365869522,24.588066593988014,0.42048973055670635,0.6116307973861694,
vae,gaussian,15,test060.png,28.008623612504465,0.678303827186692,0.5751451253890991,24.588066593988014,0.42048973055670635,0.6116307973861694,
dncnn,gaussian,15,test061.png,32.39059065551889,0.8534297582109271,0.15169258415699005,24.697021676091534,0.4600779227451573,0.5197815895080566,
vae,gaussian,15,test061.png,24.822742736668147,0.6435937137434778,0.6143352389335632,24.697021676091534,0.4600779227451573,0.5197815895080566,
dncnn,gaussian,15,test062.png,36.21494342064571,0.9509037616117457,0.0660630315542221,25.564722004179984,0.4872179430919383,0.5221026539802551,
vae,gaussian,15,test062.png,20.9803941526417,0.7725736006902698,0.3579525947570801,25.564722004179984,0.4872179430919383,0.5221026539802551,
dncnn,gaussian,15,test063.png,29.357572252429907,0.9103055207814987,0.07843830436468124,24.728224382078544,0.769343318930943,0.2473224699497223,
vae,gaussian,15,test063.png,20.146688024969514,0.37658653571124484,0.6529571413993835,24.728224382078544,0.769343318930943,0.2473224699497223,
dncnn,gaussian,15,test064.png,29.024368456435354,0.8356521263538845,0.13064485788345337,24.646178299482354,0.6965343178764123,0.24164463579654694,
vae,gaussian,15,test064.png,22.076852075768123,0.4027025614967583,0.6919564008712769,24.646178299482354,0.6965343178764123,0.24164463579654694,
dncnn,gaussian,15,test065.png,31.385790070139322,0.8898726998445086,0.12367194890975952,25.27622201757829,0.5885679172487586,0.3640260696411133,
vae,gaussian,15,test065.png,23.837308434664077,0.6119214417261496,0.5615973472595215,25.27622201757829,0.5885679172487586,0.3640260696411133,
dncnn,gaussian,15,test066.png,40.42992823001739,0.9677146538652374,0.09779611974954605,24.629984098421108,0.2731519005235375,0.8662048578262329,
